From,To
Batman,Superhero
Superhero,Stock character
Stock character,Stereotypical
Stereotypical,Social psychology
Social psychology,Science
Egg,Zygote
Zygote,Eukaryote
Eukaryote,Organism
Organism,Biology
Biology,Science
Data,Fact
Fact,Truth
Truth,Fact
One Direction,Pop music
Pop music,Popular music
Popular music,Music
Music,The arts
The arts,Creativity
Creativity,Psychology
Psychology,Science
Science,Scientific method
Scientific method,Empirical evidence
Empirical evidence,Proposition
Proposition,Logic
Logic,Reason
Reason,Consciousness
Consciousness,Sentience
Sentience,Emotion
Emotion,Mental state
Mental state,Mind
Mind,Phenomenon
Phenomenon,Philosophy
