ID,Nodes,Label
1,1,Batman
2,2,Superhero
3,3,Stock character
4,4,Stereotypical
5,5,Social psychology
6,6,Egg
7,7,Zygote
8,8,Eukaryote
9,9,Organism
10,10,Biology
11,11,Data
12,12,Fact
13,13,Truth
14,14,One Direction
15,15,Pop music
16,16,Popular music
17,17,Music
18,18,The arts
19,19,Creativity
20,20,Psychology
21,21,Science
22,22,Scientific method
23,23,Empirical evidence
24,24,Proposition
25,25,Logic
26,26,Reason
27,27,Consciousness
28,28,Sentience
29,29,Emotion
30,30,Mental state
31,31,Mind
32,32,Phenomenon
33,33,Philosophy
